,,VIEW ALL SONGS AT YZYARCHIVE.org ,,
Era Name,Era Description,Image,Image link,Era Range
"Before The College Dropout
(Get Well Soon..., I'm Good..., Kon The Louis Vuitton Don)","Before Kanye released his first album to critical acclaim in 2004, he pursued many other projects, including a rap trio group named the ""Go Getters"" and production for other rappers, including, but not limited to JAY-Z, Common, Talib Kweli, and Scarface. Two years before the release of The College Dropout, Kanye began releasing a series of mixtapes to generate hype and publicity for the eventual release of his first album. Kanye eventually signed with Roc-A-Fella records in August 2002.",,https://lh3.googleusercontent.com/pw/AP1GczNRrV-dilSPK-5NTCj60MZSrXxuJbtpuYtB-hktWxVQuTXHpjXkkHQ-mIsRSy5wHeFGvMfYx-GS1kjdPeY5P3mMvfOUVpN1ZM7aVB6emMgK4jStzbpfgfM_0jD2QwnC3rZ-aTPvwVctYlyugkUhOeK3=w800-h800-s-no-gm?authuser=0,"""(06/08/1977) (Kanye West is born in Atlanta)
(08/18/2002) (Kanye announces he signed to Roc-A-Fella)""	"
"""The College Dropout
(I'm Good...)""","Following his signing to Roc-A-Fella Records, Kanye released his debut studio album, The College Dropout. It features string arrangements, choirs, and his signature soul sampling, frequently branded as ""chipmunk soul"" for its sped-up and high-pitched nature. Contrary to the popular gangster-persona lyrics at the time, his songs mostly revolved around themes of family, materialism, religion, and racism. The inspiration for finally making his music came when he was in a near-fatal car crash.			",,https://lh3.googleusercontent.com/pw/AP1GczNlYh-hv9-RAiErtfxWkeMP0j-OkhOXZW7eveMynNt0nLoKlFwxhEszL5oO9UUXzEkFlaUsVnws4icabVoOyXU4Tn1C3b8KlyXv5cCdiveQ-x3WxRgHSILnOLvh4GypNrD8tmJY1oLPSJArMROrJ78u=w225-h225-s-no-gm?authuser=0,"""(08/18/2002) (Kanye announces he signed to Roc-A-Fella)
(02/10/2004) (The College Dropout officially releases)""	"
Late Registration,"Late Registration continues the social themes introduced in The College Dropout, but now with orchestral production influenced by co-producer Jon Brion. Kanye's newfound success allowed him to expand his ambitions from a single violinist to an entire string orchestra, mixing it with production including chipmunk soul and lullaby-like instrumentals. Lyrically, the album features a mix of more socially charged songs to more personal cuts. Production-wise, inspiration came from artists such as British trip-hop band Portishead and Fiona Apple's second album When The Pawn…                        ",,https://lh3.googleusercontent.com/pw/AP1GczNZkjvOGmoJPALeXcqQh70etNYI933vnG18G6S02W1Fin-KulECrU3XJkj9-tlzhC5aVkrLffZz74eDCGRRCwmZa_eZlK50opadohYBP9NZkV7SI00hxRvj4j_J7yrJzqN4DHy75lxymSh7-r4zRrii=w554-h554-s-no-gm?authuser=0,"""(02/10/2004) (The College Dropout officially releases)
(08/30/2005) (Late Registration officially releases)""	"
Graduation,"Graduation is the third studio album from Kanye West. Inspiration came from stadium tours, indie rock, and house music. It was a considerable departure from the sound Kanye had used on his first two studio albums, which featured samples and inspirations from the soul and orchestral music Kanye grew up alongside. This album included a much more electronic sound, featuring layering synthesizers. Lyrically, Kanye analyzes himself and talks about his life after becoming famous and how the media criticize him.			",,https://lh3.googleusercontent.com/pw/AP1GczPRkpg-2qFL5gQ2R0Pi_0pkWGDHXtnFWtNWh3E9nGXXIuSqxICppCr7wRblMQRFCvgG6on5eNP0owYhGwmyPN7xgTEnwl_YOC7O24ghoEFKZXFxLL3bL-wsjDVhMf0n-g1gE4mbqXeFA73NdR9II5yQ=w300-h300-s-no-gm?authuser=0,"""(08/30/2005) (Late Registration officially releases)
(09/11/2007) (Graduation officially releases)""	"
808s & Heartbreak,"Following the death of his mother due to complications after cosmetic surgery, his relationship with fiancé Alexis Phifer finally ending for good, and a struggle to adapt to his celebrity status, Kanye felt emotionally drained and lost. Kanye dealt with his pain by channeling it into a sonically stripped-down album, one dominated by his use of the titular Roland TR-808 drum machine and Auto-Tune. This album significantly influenced future hip-hop music, having influenced Drake, Future, Travis Scott, and more.                        ",,https://lh3.googleusercontent.com/pw/AP1GczNgzUC0UQhsZ_C1_ZjXiWnUsLLGJQGhLRKo-P4wycX6hWN5H1VYtGDmOBHihYKygotMgBzJzLzoK5szisSi_SR-_B1ZWnA88hbvBE9-Gu9zl2J--8kBV6fInPBPD487aupGFQdbh-aECFOQJRiaQe1l=w447-h447-s-no-gm?authuser=0,"""(09/11/2007) (Graduation officially releases)
(11/24/2008) (808s & Heartbreak officially releases)""	"
"""Good Ass Job
(Winter Spring Summer Fall)""","As far back as 2003, Kanye had planned a four-album series revolving around going to college, with Good Ass Job concluding the series. The death of his mother derailed this plan, with his fourth album becoming the somber 808s & Heartbreak. People still expected Good Ass Job to release, though, as Kanye's next album as late as early 2010. When the wake of the 2009 VMAs incident happened, it would cause Good Ass Job not to release. The title seems to have changed to MBDTF around May 2010 or atleast not called GAJ anymore. The cover included for this era is the original cover for the single ""POWER.""			",,https://lh3.googleusercontent.com/pw/AP1GczOCmfsh6OTTzE4_jbUoMh9GZSDIhvGcOj3M3zfXWqhKtlGDMSmSFkpvG4UvupcaTDiykane5GOL5M7-D3JGroKqoca4Ym5nhU0O5oZpRCelQrVTjEcOF9wa6Cxa-M3Rt1vzpXq-uTetYOoe71TVxHra=w475-h475-s-no-gm?authuser=0,"""(11/24/2008) (808s & Heartbreak officially releases)
(05/??/2010) (The project shifts into My Beautiful Dark Twisted Fantasy)""	"
"My Beautiful Dark Twisted Fantasy
(My Dark Twisted Fantasy)","Conceived during West's self-imposed exile following the 2009 VMA incident and further influenced by his deteriorating relationship with model Amber Rose, My Beautiful Dark Twisted Fantasy is a genre-bending masterpiece that explores the darker sides of celebrity, fame, and love. With grand production that sounds like the natural evolution of all the albums that came before it, this is seen by many as Kanye's best album, even earning an extremely rare 10/10 rating from Pitchfork.			",,https://lh3.googleusercontent.com/pw/AP1GczMOShHbk77QxHdgMSxHx0iF49TQ7TLqdO81W3BXwViIo0jL6LQ9oiJVCOjd52VqJp3Ot8nRIVmIkB_4Qwg0xe3QvhTUSSjbysklaZmT3_xmfTijkVNDgXmqLvatdF-t9QJDr25F5KsPwoHcaY1arc8N=w447-h447-s-no-gm?authuser=0,"""(05/??/2010) (The project shifts into My Beautiful Dark Twisted Fantasy)
(07/28/2010) (Kanye announces the album title is no longer Good Ass Job)
(11/22/2010) (My Beautiful Dark Twisted Fantasy officially releases)""	"
"""Watch The Throne
(Collaboration with JAY-Z as The Throne)""","Considered one of the most legendary collab albums of all time, Watch The Throne puts together two of the most legendary figures in music history for a full studio album. Kanye teams up with his big brother, JAY-Z, for an album, focused primarily on luxury, black excellence, and the American dream. The album's production also reflects that, and having been recorded by two future billionaires primarily in New York City's Tribeca Grand Hotel, how could it not?			",,https://lh3.googleusercontent.com/pw/AP1GczNWIaDmUBLoxzWZVPkqNuSTFODBAVo29J31H4uZ8oUNtwtjvjdvhZvjS6dboTRUzrh7GSjIlvUDTLCmWJ6vIQ1r--T4iIdvfV1Bgvgi3Mu4nk1kWNEw9Qzkp3sunyL0GG43lcMbI59rKfECAG5r2ewo=w300-h300-s-no-gm?authuser=0,"""(08/27/2010) (Kanye announces a """"joint-EP"""" with JAY-Z)
(11/22/2010) (My Beautiful Dark Twisted Fantasy officially releases)
(08/08/2011) (Watch The Throne officially releases)
(08/12/2011) (Watch The Throne (Deluxe) officially releases)""	"
"""Cruel Summer
(Collaboration with G.O.O.D. Music)""","A compilation of new songs from Kanye's label, G.O.O.D. Music, 2012's Cruel Summer is one of the most collaborative Kanye projects he accomplished. Featuring various collaborations with Pusha T, Big Sean, 2 Chainz, John Legend, and many more, this album spawned many big hits, including ""Mercy"" and the remix of the Chief Keef song ""Don't Like."" This album also marks the first time Kanye would work with Travis Scott, an at-the-time complete unknown with no mixtape to his name.			",,https://lh3.googleusercontent.com/pw/AP1GczNYmDFNMav92F_lE68pQVxwMUHNZKiOqEOeZmkDUOYPqpaMjyEtaNtDDgsY_RMot-w4fiYbfosxa_U1fxeW-K-wnTVg8oapOfoz2dCWxSZ0tBgyF9ssE-9IX8XA8j4kis_eQ-sb6YW-bOI-_HGQRtFH=w992-h992-s-no-gm?authuser=0,"""(08/12/2011) (Watch The Throne (Deluxe) officially releases)
(09/14/2012) (Cruel Summer officially releases)""	"
"""Thank God For Drugs
(Yeezus, Nigger Cock)""","Before Kanye chose the name Yeezus for his sixth solo album, the name was Thank God For Drugs. Recording started in 2012 and accelerated in early 2013, with Kanye and his producers producing material very quickly. The tracklist for the album boasted 20 songs, with around 3.5 hours of rough material created for the album. After changing the album's name to Yeezus, Kanye recruited Rick Rubin to cut down this material and take the music in a minimal direction.			",,https://lh3.googleusercontent.com/pw/AP1GczMyi6YhmlkBlU-mN3zEpVwj_3rSdncuOlr2_K1OmW_o_dcRnmVmsaGW3M6Nf0svAaWByOdGd7KIQ9lIDxQIsFv4zxdKqKpngKW7w5EW2Zl4JcV3zHXoKbzgVtIhOpSb8VCfTy8A5VdaNtVso50lTY-x=w563-h563-s-no-gm?authuser=0,"""(08/12/2011) (Watch The Throne (Deluxe) officially releases)
(06/29/2012) (No I.D. says he's working on Kanye's latest solo album)
(05/16/2013) (Kanye changes the album title to Yeezus)""	"
"""Yeezus
(Thank God For Drugs, Nigger Cock)""","Yeezus marked a complete reverse from the bombastic production that Kanye accomplished on My Beautiful Dark Twisted Fantasy. He swapped lush soul and anthemic hooks for splintering electro, acid house, and industrial force while packaging some of his most lewd and heart-crushing tales. Initially envisioned as Thank God For Drugs, a much larger project, Kanye would play the album for Rick Rubin, he later recalled listening to roughly 3-hours of unfinished material that seemed to need months worth of work - despite the release date being a month away. Kanye enlisted Rubin to refine and complete the project, finishing a majority of the songs just two days before release.			",,https://lh3.googleusercontent.com/pw/AP1GczPDFUepjMizidNSzHIFmu8sQ5jfLP6pWtTH_QILDPnsGO-UV_rpl2tNGkg3-ryb1IEvjpN8_LDdSOdpMaskRCXtENHUbwVsSbIsWaDMJnAOFUGV-RN7d2hxMQdihAHFaemsFN4eFP38iox39w0cGsRD=w300-h263-s-no-gm?authuser=0,"""(05/16/2013) (Kanye changes the album title to Yeezus)
(05/20/2013) (Yeezus pre-orders are taken down) (Era starts here)
(06/18/2013) (Yeezus officially releases)""	"
"""Cruel Winter [V1]
(Collaboration with G.O.O.D. Music)""","The 2013 version of Cruel Winter, the first version of the sequel to 2012's Cruel Summer, is a mystery. No single for this album was released, and most of the info comes from leakers and insiders. It had many songs with A Tribe Called Quest member Q-Tip, who was notably absent from Cruel Summer despite having already been signed to the label. There is no official cover for this album, so we're using a fanmade cover to represent this era.			",,https://lh3.googleusercontent.com/pw/AP1GczPdk8WJCfY-IQlZFYpbyV9cv8cG6Z-D_RfDBPWMumGzNDlZg0xh0nySb1AahRdyxm6BXbkxxf3dEVTlmBiNyk5ADXWoLZPmn5iXQPNzb0zCpM9gDo3IXmV1ZP8vnwfryC-4cfW0YUn1tT2E_54aiE7s=w992-h992-s-no-gm?authuser=0,"""(09/14/2012) (Cruel Summer officially releases)
(Late 2013) (The project is scrapped)""	"
"""Yeezus 2
(Lost Yeezus, New Yeezus, ULTRA)""","After Rick Rubin and Kanye West cut down Yeezus to the final ten tracks, Kanye still saw potential in much of the cut material. Thus, shortly after Yeezus was released, an EP of leftovers titled Lost Yeezus was already being teased. The project then evolved into a full-fledged album of mostly new material, with Yeezus 2 acting as a codename before they could choose the last name. This project would develop into So Help Me God as the songs evolved.			",,https://lh3.googleusercontent.com/pw/AP1GczMTq_upZRRZ2ml7aNrXhhTwuW5QShZbeOGc6S22LyyXvjgxv_fqh0H_oyGIdNkhNGEmc_cMbxa2HVLVxd6oJPvG4H6hgTIjdQCdcF38BmFLctlbuFWPOPGVWqYfO77rwN1ZX2XD6Sm_IAilbj5VJnHd=w992-h992-s-no-gm?authuser=0,"""(06/18/2013) (Yeezus officially releases)
(07/16/2014) (Kanye begins hosting recording sessions while staying in Mexico)""	"
